"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YD9A9LG8","conferencePaper","2022","Shen, Yun; Han, Yufei; Zhang, Zhikun; Chen, Min; Yu, Ting; Backes, Michael; Zhang, Yang; Stringhini, Gianluca","Finding MNEMON: Reviving Memories of Node Embeddings","Proceedings of the 2022 ACM SIGSAC Conference on Computer and Communications Security","978-1-4503-9450-5","","","https://doi-org.ezproxy.utm.my/10.1145/3548606.3559358","","2022","2026-03-16 04:15:43","2026-03-16 04:15:43","","2643–2657","","","","","","","","","","","Association for Computing Machinery","Los Angeles, CA, USA","","","","","","","","Type: 10.1145/3548606.3559358","","","","graph embedding, machine learning security and privacy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L9VK43IR","book","2025","","Proceedings of the 2025 8th International Conference on Computer Information Science and Artificial Intelligence","","979-8-4007-1874-8","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QEA793BL","book","2024","","Proceedings of the 2024 4th International Conference on Big Data, Artificial Intelligence and Risk Management","","979-8-4007-0975-3","","","","","2024","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLUVXCLR","book","2025","","Proceedings of the 2025 29th International Conference on Evaluation and Assessment in Software Engineering Companion","","979-8-4007-1832-8","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NT728MIZ","book","2025","","Proceedings of the 2025 International Conference on Artificial Intelligence and its Applications","","979-8-4007-2158-8","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8J3JFJ7S","book","2025","","Proceedings of the 2025 International Conference on Embodied Intelligence and Large Models","","979-8-4007-2230-1","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XM6AYCID","journalArticle","2025","Huang, Yibo; An, Li; Zhang, Qiuyu","Low Complexity Speech Secure Hash Retrieval Algorithm Based on KDTree Nearest Neighbor Search","ACM Trans. Asian Low-Resour. Lang. Inf. Process.","","","","https://doi-org.ezproxy.utm.my/10.1145/3723161","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","Article 44","","5","24","","","","","","","","Association for Computing Machinery","","","","","","","","","ISBN: 2375-4699 Type: 10.1145/3723161","","","","Secure hash, KDTree cancelable biometric template, low complexity, content verifiable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JVFN5GWG","book","2024","","Proceedings of the 2024 3rd International Conference on Networks, Communications and Information Technology","","979-8-4007-1704-8","","","","","2024","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Xi'an, China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZY48BAZV","book","2024","","Proceedings of the 2024 7th Artificial Intelligence and Cloud Computing Conference","","979-8-4007-1792-5","","","","","2024","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B3XYR694","book","2025","","Proceedings of the 7th Joint Workshop on CPS&amp;IoT Security and Privacy","","979-8-4007-1897-7","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B433KSUW","book","2023","","Proceedings of the 2023 European Symposium on Usable Security","","979-8-4007-0814-5","","","","","2023","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Copenhagen, Denmark","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8RFL4MMP","book","2023","","Proceedings of the 2023 Fifteenth International Conference on Contemporary Computing","","979-8-4007-0022-4","","","","","2023","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Noida, India","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42M4B6WM","book","2023","","Proceedings of the 2023 6th International Conference on Big Data Technologies","","979-8-4007-0766-7","","","","","2023","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Qingdao, China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7SX2PYYL","book","2025","","Proceedings of the ACM on Web Conference 2025","","979-8-4007-1274-6","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Sydney NSW, Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LBQUQ4P8","book","2025","","Proceedings of the 2025 ACM Symposium on Document Engineering","","979-8-4007-1351-4","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Nottingham, United Kingdom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89RGDJXB","book","2023","","Proceedings of the 2023 5th International Conference on Information Technology and Computer Communications","","979-8-4007-0058-3","","","","","2023","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Tianjin, China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A83R5F44","book","2024","","Proceedings of the 19th International Conference on Availability, Reliability and Security","","979-8-4007-1718-5","","","","","2024","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Vienna, Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5IKE44CV","book","2024","","Proceedings of the 2024 International Conference on Artificial Intelligence of Things and Computing","","979-8-4007-0986-9","","","","","2024","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZXZN62IG","book","2024","","Proceedings of the 29th ACM Symposium on Access Control Models and Technologies","","979-8-4007-0491-8","","","","","2024","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","San Antonio, TX, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQMIASL3","book","2023","","Proceedings of the 2023 13th International Conference on Communication and Network Security","","979-8-4007-0796-4","","","","","2023","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Fuzhou, China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XSZFSM7Q","book","2023","","Proceedings of the 9th ACM Cyber-Physical System Security Workshop","","979-8-4007-0090-3","","","","","2023","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Melbourne, VIC, Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K365Y22Y","book","2025","","Proceedings of the 13th Knowledge Capture Conference 2025","","979-8-4007-1867-0","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VVVI7JJ7","book","2025","","Proceedings of the 2025 Australasian Computer Science Week","","979-8-4007-1507-5","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFRR7XJE","book","2025","","Proceedings of the Great Lakes Symposium on VLSI 2025","","979-8-4007-1496-2","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGWIAGXL","book","2025","","Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security","","979-8-4007-1525-9","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Taipei, Taiwan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NVFL7DTR","book","2023","","Proceedings of the 18th International Conference on Availability, Reliability and Security","","979-8-4007-0772-8","","","","","2023","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Benevento, Italy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMJK7Y99","book","2024","","Proceedings of the SC '24 Workshops of the International Conference on High Performance Computing, Network, Storage, and Analysis","","979-8-3503-5554-3","","","","","2024","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","IEEE Press","Atlanta, GA, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHN82WMA","book","2022","","Proceedings of the 38th Annual Computer Security Applications Conference","","978-1-4503-9759-9","","","","","2022","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Austin, TX, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F7C89QIT","book","2022","","Proceedings of the 17th International Conference on Availability, Reliability and Security","","978-1-4503-9670-7","","","","","2022","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Vienna, Austria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZZDNTWZ","book","2025","","Proceedings of the 2025 Workshop on Large AI Systems and Models with Privacy and Security Analysis","","979-8-4007-1896-0","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87AGSLLM","book","2025","","Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1","","979-8-4007-0531-1","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Pittsburgh, PA, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YUIMBZ5E","book","2021","","Proceedings of the 26th ACM Symposium on Access Control Models and Technologies","","978-1-4503-8365-3","","","","","2021","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Virtual Event, Spain","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4K9RH7WP","book","2024","","Proceedings of the 19th ACM Asia Conference on Computer and Communications Security","","979-8-4007-0482-6","","","","","2024","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Singapore, Singapore","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3GC3BC7Z","book","2022","","Proceedings of the 7th International Conference on Sustainable Information Engineering and Technology","","978-1-4503-9711-7","","","","","2022","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Malang, Indonesia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T5X52ZVK","book","2025","","Proceedings of the 2025 31st ACM Symposium on Virtual Reality Software and Technology","","979-8-4007-2118-2","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QLDFQPCI","book","2025","","Proceedings of the 2025 New Security Paradigms Workshop","","979-8-4007-1875-5","","","","","2025","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTVXQJ5S","book","2024","","Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 2","","979-8-4007-0424-6","","","","","2024","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Portland, OR, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4UV885UK","book","2023","","Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems","","978-1-4503-9422-2","","","","","2023","2026-03-16 04:15:43","2026-03-16 04:15:43","","","","","","","","","","","","","Association for Computing Machinery","Hamburg, Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
