Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Anomaly Detection for Insider Threats Using Unsupervised Ensembles,D. C. Le; N. Zincir-Heywood,"Faculty of Computer Science, Dalhousie University, Halifax, NS, Canada; Faculty of Computer Science, Dalhousie University, Halifax, NS, Canada",IEEE Transactions on Network and Service Management,10-Jun-21,2021,18,2,1152,1164,"Insider threat represents a major cybersecurity challenge to companies, organizations, and government agencies. Insider threat detection involves many challenges, including unbalanced data, limited ground truth, and possible user behavior changes. This research presents an unsupervised learning based anomaly detection approach for insider threat detection. We employ four unsupervised learning methods with different working principles, and explore various representations of data with temporal information. Furthermore, different computational intelligence schemes are explored to combine these models to create anomaly detection ensembles for improving the detection performance. Evaluation results show that the approach allows learning from unlabelled data under challenging conditions for insider threat detection. Insider threats are detected with high detection and low false positive rates. For example, 60% of malicious insiders are detected under 0.1% investigation budget, and all malicious insiders are detected at less than 5% investigation budget. Furthermore, we explore the ability of the proposed approach to generalize for detecting new anomalous behaviors in different datasets, i.e., robustness. Finally, results demonstrate that a voting-based ensemble of anomaly detection can be used to improve detection performance as well as the robustness. Comparisons with the state-of-the-art confirm the effectiveness of the proposed approach.",1932-4537,,10.1109/TNSM.2021.3071928,Natural Science and Engineering Research Council of Canada (NSERC) and Compute Canada; Killam Trusts and the province of Nova Scotia; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9399116,Insider threat detection;anomaly detection;ensemble learning;unsupervised learning;temporal data;dependable and robust learning,Anomaly detection;Organizations;Feature extraction;Hidden Markov models;Unsupervised learning;Training;Data models,,114,,57,IEEE,8-Apr-21,Jun-21,,IEEE,IEEE Journals
A General and Expandable Insider Threat Detection System Using Baseline Anomaly Detection and Scenario-Driven Alarm Filters,G. Yang; L. Cai; A. Yu; D. Meng,"Institute of Information Engineering Chinese Academy of Sciences, Beijing, Beijing, CN; Institute of Information Engineering Chinese Academy of Sciences, Beijing, Beijing, CN; Institute of Information Engineering Chinese Academy of Sciences, Beijing, Beijing, CN; Institute of Information Engineering Chinese Academy of Sciences, Beijing, Beijing, CN","2018 17th IEEE International Conference On Trust, Security And Privacy In Computing And Communications/ 12th IEEE International Conference On Big Data Science And Engineering (TrustCom/BigDataSE)",6-Sep-18,2018,,,763,773,"The insider threat continues to be a paramount cyber security challenge that threatens individuals, financial enterprises and governmental organizations. To deter insider threats, the scenario-driven detection approach has been a hot topic. However, the technological limitations in practice severely constrain the scenario-driven detection effect in reality. Therefore we propose a new general and expandable insider threat detection system that divides the detection into two functional modules: the baseline anomaly detection module, which are competent with multiple attack-scenario detections based on multi-domain behavioral mode features with adaptive characteristics, and the scenario-driven alarm filter module based on time-based anomaly frequency degree(TAFD) and attack beginning analysis. The multi-domain behavioral mode features enable us to effectively identify the user's abnormal behavior in general feature extraction and classification organization without a specific scenario analysis, whereas the exemplary scenario-driven alarm filter based on the time-based anomaly frequency degree is used to distinguish benign anomaly and attack anomaly according to the frequency characteristics from the scenario analysis, besides a specific alarm filter based on attack beginning analysis. The experimental results illustrate the effectiveness and feasibility of the proposed general and expandable insider threat detection system, by showing satisfactory true positive rate(TPR) and low false positive rate(FPR) with reasonable hit and tradeoff rate for multiple attack scenarios. This work lays the foundation for a promising insider threat detection architecture that integrates multiple scenario-driven detections into a normative, flexible and effective modular system.",2324-9013,978-1-5386-4388-4,10.1109/TrustCom/BigDataSE.2018.00110,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8455978,"baseline anomaly detection, insider threats, false alarm reduction, scenario-driven, behavioral mode, anomaly relevance",Feature extraction;Anomaly detection;Machine learning;Organizations;Time-frequency analysis;Biological system modeling;Analytical models,,9,,,IEEE,6-Sep-18,1-3 Aug. 2018,1-3 Aug. 2018,IEEE,IEEE Conferences
Research on Insider Threat Detection Methods Based on Convolutional Neural Networks,J. Peng; Z. Chen; S. Jiang,"Institute of Seismology, CEA, Wuhan, China; Institute of Seismology, CEA, Wuhan, China; China National Tobacco Corporation, Wuhan, China","2025 IEEE 4th International Conference on Computing, Communication, Perception and Quantum Technology (CCPQT)",17-Feb-26,2025,,,1,5,"Insider threat has become a significant challenge in the field of network security due to its dual characteristics of strong concealment and high destructiveness. If such threats are not detected, they can have disastrous consequences for enterprises or organizations, including key data leakage, disruption of business continuity, and reputation damage. Traditional insider threat detection methods often rely on static threshold strategies or shallow machine learning models, which suffer from the drawback of insufficient detection accuracy. This paper proposes a deep convolutional neural network detection framework. Firstly, a feature selection mechanism is constructed based on random forests, and redundant dimensions with less influence are eliminated using a voting mechanism. Then, a deep neural network is employed to extract local-dependent features of behavior sequences. Finally, key information about insider threats is effectively captured, and the detection results are obtained. Experiments on the public dataset of the CMU CERT R6.2 Research Center show that the accuracy of this method reaches 95.8%, which higher than traditional statistical machine learning methods such as Support Vector Machine and Random Forest, validating the effectiveness of the method.",,979-8-3315-2583-5,10.1109/CCPQT66408.2025.11383425,National Natural Science Foundation of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11383425,Cyber Security;Insider Threat Detection;Machine learning;Deep learning,Support vector machines;Accuracy;Quantum computing;Scalability;Organizations;Feature extraction;Threat assessment;Robustness;Convolutional neural networks;Random forests,,,,10,IEEE,17-Feb-26,24-26 Oct. 2025,24-26 Oct. 2025,IEEE,IEEE Conferences
A Survey of Large Language Models for Insider Threat Detection,A. Haidar; Y. -Z. Lin; Q. Shi; Z. Yang; D. Amadigwe; B. Terry; S. K. Battu; P. Satam; S. Shao,"School of Electrical Engineering and Computer Science, University of North Dakota, Grand Forks, ND, USA; Department of Electrical and Computer Engineering, University of Arizona, Tucson, AZ, USA; School of Electrical Engineering and Computer Science, University of North Dakota, Grand Forks, ND, USA; School of Electrical Engineering and Computer Science, University of North Dakota, Grand Forks, ND, USA; School of Electrical Engineering and Computer Science, University of North Dakota, Grand Forks, ND, USA; School of Electrical Engineering and Computer Science, University of North Dakota, Grand Forks, ND, USA; School of Electrical Engineering and Computer Science, University of North Dakota, Grand Forks, ND, USA; Department of Systems and Industrial Engineerin, University of Arizona, Tucson, AZ, USA; School of Electrical Engineering and Computer Science, University of North Dakota, Grand Forks, ND, USA",2025 Cyber Awareness and Research Symposium (CARS),21-Jan-26,2025,,,1,10,"Insider threat detection increasingly relies on artificial intelligence, but traditional deep learning models often depend on large, specialized datasets, making them costly in terms of data collection, computation, and energy. The recent advancements in large language models (LLMs), such as BERT, GPT, and LLaMA, present a promising alternative, enabling sophisticated contextual modeling while reducing the need for task-specific feature engineering. However, a survey of how LLMs are being applied in insider threat detection is still missing. To address the gap, this survey, dedicated to LLM-based insider threat detection, reviews contemporary LLM-based approaches to insider threat detection, categorizing them into BERT-based, GPT-based, LLaMA-based, and hybrid systems. We summarize key techniques covering data serialization, temporal encoding, model adaptation, and evaluation protocols. The review highlights reported improvements over traditional baselines in modeling complex behavioral patterns, mitigating class imbalance, and generating data for rare scenarios. Finally, we identify critical limitations related to external validity, computational efficiency, interpretability, and governance in LLM for insider threat detection, and outline future research directions",,979-8-3315-9628-6,10.1109/CARS67163.2025.11337474,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11337474,Insider threat detection;large language model;transformer;behavioral analytics,Surveys;Reviews;Computational modeling;Large language models;Pipelines;Bidirectional control;Threat assessment;Encoding;Data models;Cognition,,,,61,IEEE,21-Jan-26,27-30 Oct. 2025,27-30 Oct. 2025,IEEE,IEEE Conferences
Temporal Quantum Neural Networks for Insider Threat Detection,A. M. Sivakrishna; R. Mohan; N. S. Nair; V. Rohini,"Department of CSE, National Institute of Technology, Tiruchirappalli, TamilNadu, India; Department of CSE, National Institute of Technology, Tiruchirappalli, TamilNadu, India; Department of CSE, National Institute of Technology, Tiruchirappalli, TamilNadu, India; Department of CSE, National Institute of Technology, Tiruchirappalli, TamilNadu, India",2025 6th International Conference on Recent Advances in Information Technology (RAIT),30-Jul-25,2025,,,1,6,"Cyber-security plays a major role in protecting sensitive information in this digital era. In Cyber attacks identifying the internal threats are extremely difficult than the external one as the attack is performed the people who is having access to the sensitive information of the organization. Moreover due to diversity & volume of data, motive of the insider and rarity of attack makes it very hard to identify such insiders. The existing insider threat detection approaches has limitations like lower precision and granularity of features to be considered. In this regard, Principal Component Analysis(PCA) based dimensionality reduction and Quantum Neural Network(QNN) based detection approach has been proposed. The SEI CMU’s benchmark CERTr4.2 dataset is considered for evaluating this proposed approach. The feature vectors are constructed based on the day-wise temporal behavioral activities of employees. The proposed approach identifies insiders with an Accuracy of $\mathbf{9 3. 7 7 \%}$, Precision of $\mathbf{9 3. 8 9 \%}$, Recall of $\mathbf{9 9. 6 7 \%}$, F1-score of $\mathbf{9 6. 6 9 \%}$, which shows the effectiveness of the quantum inspired approach to tackle this threat.",2994-287X,979-8-3315-2480-7,10.1109/RAIT65068.2025.11089064,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11089064,Cyber-security;Insider Threat;Behavioral Analysis;Dimensionality Reduction;Quantum Network,Dimensionality reduction;Adaptation models;Computational modeling;Scalability;Qubit;Organizations;Threat assessment;Vectors;Real-time systems;Quantum networks,,3,,23,IEEE,30-Jul-25,6-8 March 2025,6-8 March 2025,IEEE,IEEE Conferences
Insider Threat Detection Using Generative Adversarial Graph Attention Networks,C. Li; F. Li; M. Yu; Y. Guo; Y. Wen; Z. Li,"Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; School of Cyber Security, University of Science and Technology of China, Hefei, China; Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China",GLOBECOM 2022 - 2022 IEEE Global Communications Conference,11-Jan-23,2022,,,2680,2685,"Insiders cause serious security threats to organizations. Existing insider threat detection methods mainly mine the users' behaviors or psychological features by analyzing the users' operation logs, and they ignore the associations of behaviors among users and get unappealing performance on the imbalanced samples. In this paper, considering attention mechanism, we propose Generative Adversarial Graph Attention Networks (GAGAN) to detect insider threats. First, we design association rules to construct a graph to associate users' behaviors. Second, to address the imbalanced samples, we adopt graph generator to generate abnormal nodes; A discriminator with graph attention networks is designed to further mine the potential associations of behaviors among users and discriminate real nodes from the generated nodes, also adopted to discriminate anomaly nodes from normal nodes. Experimental results on CERT data set demonstrate that our method can accurately detect abnormal insiders and outperforms several state-of-the-art baseline methods.",2576-6813,978-1-6654-3540-6,10.1109/GLOBECOM48099.2022.10001207,National Key Research and Development Program of China(grant numbers:2019YFB2101702); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10001207,Insider Threat Detection;Anomaly Detection;Generative Adversarial Networks;Graph Attention Networks;Node Classification,Representation learning;Deep learning;Psychology;Organizations;Feature extraction;Generators;Security,,5,,24,IEEE,11-Jan-23,4-8 Dec. 2022,4-8 Dec. 2022,IEEE,IEEE Conferences
Unsupervised User-Based Insider Threat Detection Using Bayesian Gaussian Mixture Models,S. Bertrand; J. Desharnais; N. Tawbi,"Informatique et génie Logiciel, Laval University, Québec, Canada; Informatique et génie Logiciel, Laval University, Québec, Canada; Informatique et génie Logiciel, Laval University, Québec, Canada","2023 20th Annual International Conference on Privacy, Security and Trust (PST)",22-Nov-23,2023,,,1,10,"Insider threats are a growing concern for organizations due to the amount of damage that their members can inflict by combining their privileged access and domain knowledge. Nonetheless, the detection of such threats is challenging, precisely because of the ability of the authorized personnel to easily conduct malicious actions and because of the immense size and diversity of audit data produced by organizations in which the few malicious footprints are hidden. In this paper, we propose an unsupervised insider threat detection system based on audit data using Bayesian Gaussian Mixture Models. The proposed approach leverages a user-based model to optimize specific behaviors modelization and an automatic feature extraction system based on Word2Vec for ease of use in a real-life scenario. The solution distinguishes itself by not requiring data balancing nor to be trained only on normal instances, and by its little domain knowledge required to implement. Still, results indicate that the proposed method competes with state-of-the-art approaches that use stronger hypotheses, presenting a good recall of 88%, accuracy and true negative rate of 93%, and a false positive rate of 6.9%. For our experiments, we used the benchmark dataset CERT version 4.2.",2643-4202,979-8-3503-1387-1,10.1109/PST58708.2023.10320169,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10320169,Insider Threat;Bayesian Gaussian Mixture Model;Gaussian Mixture Model;Unsupervised learning;Word2Vec,Privacy;Organizations;Feature extraction;Threat assessment;Real-time systems;Behavioral sciences;Bayes methods,,5,,23,IEEE,22-Nov-23,21-23 Aug. 2023,21-23 Aug. 2023,IEEE,IEEE Conferences
Analyze Organizational Internal Threats Using Machine Learning,Y. Jing; C. Jiang; W. Chen; Y. Xu,"China Telecom Research Institute, China Telecom Corporation Limited, Guangzhou, China; China Telecom Research Institute, China Telecom Corporation Limited, Guangzhou, China; China Telecom Research Institute, China Telecom Corporation Limited, Guangzhou, China; China Telecom Research Institute, China Telecom Corporation Limited, Guangzhou, China",2023 5th International Conference on Applied Machine Learning (ICAML),19-Mar-24,2023,,,6,10,"This study aims to propose a method used to detect insider threats in order to protect enterprise information security. The article first analyzes the concept and hazards of insider threats and then sorts out the achievements of existing related research. Based on this, an insider threat detection method based on machine learning is proposed, and its effectiveness is verified through experiments. Finally, the contributions and limitations of this study are summarized, and possible future research directions are foreseen.",,979-8-3503-4141-6,10.1109/ICAML60083.2023.00013,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10457365,Network Security;Insider threats;Machine learning,Information security;Machine learning;Threat assessment;Hazards,,2,,8,IEEE,19-Mar-24,21-23 July 2023,21-23 July 2023,IEEE,IEEE Conferences
Predicting Malicious Insider Threat Scenarios Using Organizational Data and a Heterogeneous Stack-Classifier,A. J. Hall; N. Pitropakis; W. J. Buchanan; N. Moradpoor,"Blockpass Identity Lab, Edinburgh Napier University, Edinburgh, UK; Blockpass Identity Lab, Edinburgh Napier University, Edinburgh, UK; Blockpass Identity Lab, Edinburgh Napier University, Edinburgh, UK; Blockpass Identity Lab, Edinburgh Napier University, Edinburgh, UK",2018 IEEE International Conference on Big Data (Big Data),24-Jan-19,2018,,,5034,5039,"Insider threats continue to present a major challenge for the information security community. Despite constant research taking place in this area; a substantial gap still exists between the requirements of this community and the solutions that are currently available. This paper uses the CERT dataset r4.2 along with a series of machine learning classifiers to predict the occurrence of a particular malicious insider threat scenario - the uploading sensitive information to wiki leaks before leaving the organization. These algorithms are aggregated into a meta-classifier which has a stronger predictive performance than its constituent models. It also defines a methodology for performing pre-processing on organizational log data into daily user summaries for classification, and is used to train multiple classifiers. Boosting is also applied to optimise classifier accuracy. Overall the models are evaluated through analysis of their associated confusion matrix and Receiver Operating Characteristic (ROC) curve, and the best performing classifiers are aggregated into an ensemble classifier. This meta-classifier has an accuracy of 96.2% with an area under the ROC curve of 0.988.",,978-1-5386-5035-6,10.1109/BigData.2018.8621922,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8621922,Classification;Malicious Insider Threat;Machine-Learning;Supervised Learning;Security,Organizations;Prediction algorithms;Training;Classification algorithms;Machine learning;Machine learning algorithms;Predictive models,,19,,14,IEEE,24-Jan-19,10-13 Dec. 2018,10-13 Dec. 2018,IEEE,IEEE Conferences
Towards a User and Role-Based Behavior Analysis Method for Insider Threat Detection,Q. Lv; Y. Wang; L. Wang; D. Wang,"Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; China School of Cyber Security, University of Chinese Academy of Science, Beijing, China; School of Computer and Communication Engineering, University of Science and Technology, Beijing, China; China School of Cyber Security, University of Chinese Academy of Science, Beijing, China",2018 International Conference on Network Infrastructure and Digital Content (IC-NIDC),8-Nov-18,2018,,,6,10,"Organizations are experiencing an ever-growing concern of how to identify and defend against insider threats. Existing methods have distinguished the minority of users who show suspicious behavior from the majority of users. However, these methods failed to apply the features reflecting the deviation between the behaviors of users and those of their user groups within the similar job roles. This paper focuses on insider threat detection by conducting both user and role behaviors analysis. It extracts multiple features that represent the details of activities conducted by each user and their deviations from the behaviors of their user groups. The malicious users are then detected by using an unsupervised algorithm, Isolation Forest Algorithm, which evaluates the variance that each user exhibits across multiple attributes, compared against the other users. To evaluate the performance of the proposed models comprehensively, we implement a series of experiments with the data lasting 17 months. We compare the proposed method with an existing state-of-the-art method and the results demonstrate the robust performance of the proposed detection method.",2575-4955,978-1-5386-6067-6,10.1109/ICNIDC.2018.8525804,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8525804,Insider threat;isolation forest;job role;user behavior,Feature extraction;Hidden Markov models;Media;Organizations;Forestry;Prediction algorithms,,7,,20,IEEE,8-Nov-18,22-24 Aug. 2018,22-24 Aug. 2018,IEEE,IEEE Conferences
Insider Threat Detection Using Characterizing User Behavior,X. Wang; Q. Tan; J. Shi; S. Su; M. Wang,"School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China; Cyberspace Institute of Advanced Technology, GuangZhou University, GuangZhou, China; Institute of Information Engineering Chinese Academy of Sciences, Beijing, China; Cyberspace Institute of Advanced Technology, GuangZhou University, GuangZhou, China; School of Cyber Security, University of Chinese Academy of Sciences, Beijing, China",2018 IEEE Third International Conference on Data Science in Cyberspace (DSC),19-Jul-18,2018,,,476,482,"With the rapid development of information technology, office automation is continuously improving. The data leakage problem resulting from insider threats is getting worse, legitimate users may abuse privileges or masquerade as other users, which may result in the loss of data. In this paper, a new data-centric approach is proposed to detect insider threat, which based on characterizing user behavior by extracting the features of user interaction behavior including keystroke dynamics and consecutive queries to model users' access patterns. Statistical learning algorithms are trained and tested from opening dataset to predict abnormal behavior patterns; experimental results indicate that the approach is very effective and accurate.",,978-1-5386-4210-8,10.1109/DSC.2018.00077,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8411898,insider threat detection;threat detection,Mice;Organizations;Feature extraction;Biological system modeling;Standards organizations;Security,,14,,20,IEEE,19-Jul-18,18-21 June 2018,18-21 June 2018,IEEE,IEEE Conferences
Insider Threat Identification Using the Simultaneous Neural Learning of Multi-Source Logs,L. Liu; C. Chen; J. Zhang; O. De Vel; Y. Xiang,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, Australia; School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, Australia; School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, Australia; Department of Defence, Defence Science and Technology Group, Edinburgh, Australia; School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, Australia",IEEE Access,25-Dec-19,2019,7,,183162,183176,"Insider threat detection has drawn increasing attention in recent years. In order to capture a malicious insider’s digital footprints that occur scatteredly across a wide range of audit data sources over a long period of time, existing approaches often leverage a scoring mechanism to orchestrate alerts generated from multiple sub-detectors, or require domain knowledge-based feature engineering to conduct a one-off analysis across multiple types of data. These approaches result in a high deployment complexity and incur additional costs for engaging security experts. In this paper, we present a novel approach that works with a variety of security logs. The security logs are transformed into texts in the same format and then arranged as a corpus. Using the model trained by Word2vec with the corpus, we are enabled to approximate the posterior probabilities for insider behaviours. Accordingly, we label the transformed events as suspicious if their behavioural probabilities are smaller than a given threshold, and a user is labelled as malicious if he/she is associated with multiple suspicious events. The experiments are undertaken with the Carnegie Mellon University (CMU) CERT Programs insider threat database v6.2, which not only demonstrate that the proposed approach is effective and scalable in practical applications but also provide a guidance for tuning the parameters and thresholds.",2169-3536,,10.1109/ACCESS.2019.2957055,Australia Defence Science and Technology (DST) Group; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8918248,Cybersecurity;data analytics;insider threats;word embedding,Security;Feature extraction;Machine learning;Software;Databases;Transforms;Anomaly detection,,24,,44,CCBY,2-Dec-19,2019,,IEEE,IEEE Journals
SmartCluster Decision Model (SCDM): A Hybrid Approach for Insider Threat Detection Using Clustering and Decision Trees with Iterative Feedback,S. Abrar; M. Y. Newaz; Mohaimen-Bin-Noor; M. Hasan,"Department of Computer Science, American International University-Bangladesh, Dhaka, Bangladesh; Department of Computer Science, American International University-Bangladesh, Dhaka, Bangladesh; Department of Computer Science, American International University-Bangladesh, Dhaka, Bangladesh; Department of Computer Science, American International University-Bangladesh, Dhaka, Bangladesh","2025 IEEE 2nd International Conference on Computing, Applications and Systems (COMPAS)",12-Feb-26,2025,,,1,6,"Insider threats are still one of the most significant threats in cyber security and can escape existing detection methods through their subtle and sophisticated behaviors. These insider threats, which are often conducted by trusted insiders who have authorized access, may lead to irreversible damage to data consistency, credibility, and solvency of an enterprise. Although much work has been devoted to detecting such outliers, current approaches have difficulty in distinguishing benign from malicious behavior with high accuracy. In this paper, we propose a new hybrid method of insider threat detection which combines unsupervised clustering with decision tree classification with the aid of iterative feedback loops to enhance the model throughout. Leveraging the information from various data sets including HTTP logs, device interactions, authentication records, etc., we intended to build a framework that captures complex behaviors that may indicate suspicious behavior. Incorporation of clustering techniques facilitates flexible adjustment to change insider behaviors, whereas the decision tree classifier accomplishes a clear and interpretable classification. This method establishes a base for comprehensive, real-time threat detection systems, delivering a scalable solution for companies looking to defend themselves against insider threats.",,979-8-3315-5525-2,10.1109/COMPAS67506.2025.11381645,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11381645,Insider Threat Detection;Hybrid Model;Behavioral Clustering;Decision Tree Classification;Anomaly Detection;Cybersecurity;User Behavior Analytics,Performance evaluation;Analytical models;Accuracy;Authentication;Threat assessment;Real-time systems;HTTP;Decision trees;Iterative methods;Anomaly detection,,,,12,IEEE,12-Feb-26,23-24 Oct. 2025,23-24 Oct. 2025,IEEE,IEEE Conferences
Enhanced Cybersecurity in Enterprise Circumstances: A Behavior-Based Procedure to ML-Based Insider Threat Detection,M. Sethi; V. R. Kasu; B. K. Malamuthu; K. T. Al-Assaf; A. Dutt; G. Karthikeyan,"Avaya LLC, TX, USA; Sr Functional Architect, Celina, Texas; Financial Crimes Technology Morgan Stanley Services Inc, New York; Faculty of Economics and Administrative Sciences, Electronic Marketing and Social Media Zarqa University, Zarqa 13110 Jordan University of Business and Technology, Jeddah, Saudi Arabia; School of Electronics and Electrical Engineering, Lovely Professional University, Phagwara, India; Department of VLSI Microelectronics Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences (SIMATS), Saveetha University, Chennai",2025 IEEE International Conference on Blockchain and Distributed Systems Security (ICBDS),17-Feb-26,2025,,,1,6,"Insider threats have become one of the most challenging cybersecurity problems for enterprises, since it causes a tremendous impact on the financial, reputation, and operation. Legacy security tools, largely designed with external threats in mind, have failed to detect subtle, contextually-complex insider-induced security infractions. This study introduces a behavior-based ML-based solution that can be used to both reduce and identify the threats posed by legitimate users by analyzing usage patterns, access behaviors, and anomalous patterns from the established normal scheme of activities in enterprise systems. By using supervised and unsupervised ML techniques, we model user's behavior on several dimensions, such as login frequency, file access, email usage and system navigation pattern. These models are used for training in large-scale datasets with benign and malicious behaviors, to learn the system to detect in real-time the anomalies of the behavior referring for insider threats. The approach advocated derives from the two concepts of sensitivity to context of user intent and activity; in this way, it can differentiate between legitimate albeit anomalous behavior and truly malicious activity. Feature engineering is vital for transforming raw logs to meaningful indicators that improve model accuracy and minimize false positives. In addition, the system includes adaptive learning capabilities to adapt to new threats vectors and patterns of behaviors, so it remains current and robust. The proposed model is evaluated on real datasets in comparison with conventional rule-based and signature-based systems, resulting in better detection of mild insider threats with high precision, and recall. This research highlights the promise of behavior-oriented, ML-enabled approaches to transform the paradigms and patterns of enterprise cybersecurity, triggering more proactive threat defense and enabling organizations to remain relevant and resilient in the face of the constantly growing digital complexity.",,979-8-3315-5305-0,10.1109/ICBDS67396.2025.11377047,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11377047,Enterprise Cybersecurity;Insider Threat Detection;Behavioral Analytics;User Activity Monitoring;Anomaly Detection;Unsupervised Learning;Supervised Learning,Analytical models;Adaptation models;Accuracy;Biological system modeling;Threat assessment;Real-time systems;Data models;Vectors;Computer security;Unsupervised learning,,,,15,IEEE,17-Feb-26,30 Oct.-1 Nov. 2025,30 Oct.-1 Nov. 2025,IEEE,IEEE Conferences
CNN-LSTM-Based Insider Threat Detection Model,M. Yang; J. Yi; H. Zhu; L. Tan,"Beijing Information Science and Technology University, Beijing, China; Beijing Information Science and Technology University, Beijing, China; Beijing Information Science and Technology University, Beijing, China; Beijing Information Science and Technology University, Beijing, China",2025 International Conference on Electrical Automation and Artificial Intelligence (ICEAAI),15-Apr-25,2025,,,985,990,"With the continuous development of electrical, automation, and artificial intelligence (AI) systems, ensuring the security of system data has become increasingly important. Compared to external threats, insider threats to intelligent systems present greater concealment and potential harm. In this article, an insider threat detection model based on the CNN-LSTM (Convolutional Neural Network-Long Short-Term Memory) algorithm is proposed. The method first extracts key features of user behavior through the CNN layer, followed by user behavior prediction using the LSTM layer. Finally, a fully connected layer performs binary classification to identify whether the behavior constitutes a threat. The experiments are conducted using the CMU-CERT R4.2 public dataset. Results from comparative neural network experiments demonstrate that this model achieves stable accuracy and precision rates exceeding 90%, with excellent performance on the ROC curve.",,979-8-3315-0679-7,10.1109/ICEAAI64185.2025.10957184,National Key R&D Program of China(grant numbers:2024QY1703); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10957184,Insider Threat Detection;Behavior Log Analysis;Convolutional Neural Network;Long Short-Term Memory Recurrent Neural Network,Training;Accuracy;Feature extraction;Threat assessment;Stability analysis;Convolutional neural networks;Security;Intelligent systems;Long short term memory;Overfitting,,2,,16,IEEE,15-Apr-25,10-12 Jan. 2025,10-12 Jan. 2025,IEEE,IEEE Conferences
Dynamic Insider Threat Detection Based on Adaptable Genetic Programming,D. C. Le; A. N. Zincir-Heywood; M. I. Heywood,"Faculty of Computer Science, Dalhousie University, Halifax, Canada; Faculty of Computer Science, Dalhousie University, Halifax, Canada; Faculty of Computer Science, Dalhousie University, Halifax, Canada",2019 IEEE Symposium Series on Computational Intelligence (SSCI),20-Feb-20,2019,,,2579,2586,"Different variations in deployment environments of machine learning techniques may affect the performance of the implemented systems. The variations may cause changes in the data for machine learning solutions, such as in the number of classes and the extracted features. This paper investigates the capabilities of Genetic Programming (GP) for malicious insider detection in corporate environments under such changes. Assuming a Linear GP detector, techniques are introduced to allow a previously trained GP population to adapt to different changes in the data. The experiments and evaluation results show promising insider threat detection performances of the techniques in comparison with training machine learning classifiers from scratch. This reduces the amount of data needed and computation requirements for obtaining dependable insider threat detectors under new conditions.",,978-1-7281-2485-8,10.1109/SSCI44817.2019.9003134,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9003134,insider threat detection;cyber-security;dynamic environment,Feature extraction;Machine learning;Statistics;Registers;Sociology;Genetic programming;Data models,,6,,31,IEEE,20-Feb-20,6-9 Dec. 2019,6-9 Dec. 2019,IEEE,IEEE Conferences
